id;min;phrase;clicks;ctr;premium_clicks;premium_ctr;shows;max;first_place_ctr;premium_min;premium_max;first_place_clicks
28265;14.17;"!вегетарианская !еда !с !доставкой";2;0.81;9;16.29;43;14.17;0.81;8.68;13.6;2
28266;2.29;"!доставка !еды !для !похудения";2;0.23;10;13.89;56;4.45;0.4;5.49;10.72;2
28267;1.38;"!сбалансированное !питание !с !доставкой !по !москве";2;1.03;9;13.01;71;2.12;1.15;5.33;11.33;2
28268;2.84;"!доставка !еды !на !неделю !москва";2;1.39;7;10.89;45;5.89;1.49;9.16;22.25;2
28269;2.8;"!правильное !питание !с !доставкой !на !дом !москва";2;0.77;10;12.05;60;4.19;0.74;8.12;45.34;2
28270;27.22;"!доставка !пп !еды !в !москве";2;0.76;7;12.19;35;27.22;0.76;15.89;43.22;2
28271;1.41;"!конструктор !еды !на !дом !москва";2;1.35;6;9.02;56;1.66;1.38;2.71;13.22;2
28272;5.09;"!еда !на !каждый !день !доставка";2;0.45;2;5.81;9;5.09;0.45;4.35;13.72;2
28273;3.37;"!фитнес !питание !с !доставкой";3;0.61;11;3.98;174;3.7;0.63;4.33;21.98;3
28274;27.61;"!доставка !еды !на !дом !на !неделю";2;0.75;8;13.21;53;27.61;0.75;13.38;35.82;2
28275;2.17;"!готовое !питание";2;0.93;13;17.24;66;2.22;0.93;1.5;3.68;2
28276;1.08;"!питание !с !доставкой";2;0.78;5;10.74;37;1.35;0.78;2.32;13.22;2
28277;0.95;"!готовая !еда !с !доставкой";2;2.25;6;9.98;56;2.25;2.94;7.36;10.76;2
28278;2.21;"!general !food !готовое !питание";2;0.53;2;13.13;9;2.21;0.53;1.09;2.69;2
28279;1.85;"!готовая !еда";2;0.45;23;5.91;230;2.48;0.46;3.86;35.76;2
28280;6.03;"!доставка !готовой !еды !на !неделю !в !москве";4;1.68;14;6.38;138;7.91;1.84;11.44;25.44;4
28281;4.54;"!диетическая !еда !с !доставкой !на !дом !москва";2;0.93;10;13.69;58;5.82;0.93;5.2;19.54;2
28282;15.2;"!доставка !диетической !еды";2;0.21;7;8.86;56;15.97;0.21;6.4;12.86;2
28283;6.05;"!доставка !полезной !еды";2;0.52;9;8.98;77;8.33;0.55;7.22;15.07;2
28284;2.47;"!доставка !питания";2;1.28;8;11.61;74;2.59;1.27;2.47;5.76;2
28285;1.85;"!сбалансированная !еда !с !доставкой";2;0.47;2;11.98;7;1.85;0.47;2.32;8.54;2
28286;1.58;"!еда !на !неделю !на !дом";0;0;0;0;78;1.88;0;3.71;22.1;0
28287;4.5;"!фитнес !еда !с !доставкой !москва";2;0.82;4;10.75;28;4.5;0.82;3.35;9.75;2
28288;2.22;"!доставка !питания !для !похудения !в !москве";2;0.72;12;15.52;72;2.46;0.77;3.65;15.79;2
28289;17.16;"!заказ !вегетарианской !еды !на !дом";2;0.16;4;7.42;37;17.16;0.16;7.9;23.2;2
28290;1.51;"!готовое !питание !на !неделю !заказать";2;1.16;8;16.75;27;3.01;1.33;2.71;27.9;2
28291;3.82;"!правильное !питание !заказать";2;1.34;10;9.68;106;4.23;1.33;9.43;32.18;2
28292;3.73;"!доставка !вегетарианской !еды !москва";2;0.42;10;10.56;83;7.81;0.81;11.29;25.15;2
28293;1.93;"!питание !для !похудения !с !доставкой !на !дом";2;1.7;20;23.75;83;3.14;1.49;4.31;20.03;2
28294;9.47;"!доставка !еды !на !неделю !для !похудения";2;0.41;9;8.91;92;11.55;0.39;10.37;18.71;2
28295;8.62;"!еда !для !похудения !с !доставкой";2;0.79;7;17.57;35;8.62;0.79;2.88;10.24;2
28296;2.15;"!заказ !правильного !питания !на !дом !москва";2;1.86;8;13.42;41;2.97;1.7;4.5;23.57;2
28297;3.21;"!заказать !диетическую !еду !на !дом !москва";2;0.48;7;9.92;44;7.55;0.71;7.79;21.17;2
28298;1.45;"!правильное !питание !заказать !в !москве";2;2.91;4;9.6;14;2.87;3.23;6.31;17.7;2
28299;4.03;"!доставка !еды !по !калориям !москва";2;1.36;2;4.99;15;4.03;1.36;4.53;11.42;2
28300;19.94;"!сервисы !по !доставке !готовой !еды";2;0.46;2;7.94;6;19.94;0.46;9.83;35.13;2
28301;2.33;"!заказать !правильное !питание !на !дом";2;1.59;6;17.66;19;2.58;1.57;4.95;43.84;2
28302;3.67;"!диетическое !питание !с !доставкой";2;0.58;12;14.09;68;3.78;0.58;3.77;9.89;2
28303;1.79;"!здоровое !питание !на !дом";2;1.11;5;15.46;16;2.2;1.04;3.01;20.45;2
28304;1.29;"!вегетарианские !обеды";2;0.21;2;5.03;5;1.37;0.21;20.33;23.49;2
28305;12.69;"!доставка !здоровой !еды !на !дом";2;0.41;5;5.75;45;13.18;0.43;10.89;37.25;2
28306;12.5;"!готовая !еда !для !похудения !с !доставкой !москва";2;0.36;7;11.37;45;12.5;0.36;5.01;25.24;2
28307;1.57;"!доставка !диетического !питания";2;0.72;9;10.49;62;2.69;0.62;4.8;7.56;2
28308;0.74;"!вегетарианская !еда !на !неделю";2;1.14;2;6.56;4;0.78;1.14;1.14;4.94;2
28309;1.27;"!general !food !готовое !питание !отзывы";2;0.77;2;1.4;15;1.27;0.77;1.51;7.11;2
28310;1.54;"!правильное !питание !москва";2;0.64;4;9.68;15;1.54;0.64;4.85;15.8;2
28311;2.39;"!еда !с !доставкой !на !дом !москва";2;0.92;23;12.75;190;2.96;0.92;7;25.66;2
28312;10.57;"!доставка !полезной !еды !на !дом";2;0.31;7;10.03;49;11.95;0.33;9.21;34.95;2
28313;36.32;"!доставка !еды !на !неделю !для !похудения !москва";2;0.19;4;7.79;31;36.32;0.19;8.8;50.89;2
28314;2.16;"!доставка !рационов !питания";2;1.11;3;12.61;19;2.29;1.53;3.54;29.47;2
28315;5.16;"!доставка !еды !на !каждый !день";2;0.42;2;6.98;13;5.16;0.42;10.3;21.4;2
28316;0.32;"!калькулятор !питания";2;0.05;0;0;17;0.32;0.05;0.01;0.01;2
28317;1.84;"!доставка !правильного !питания !москва !недорого";2;1.48;6;17.72;20;1.84;1.48;9.69;27.85;2
28318;7.35;"!готовая !еда !для !набора !массы !с !доставкой";2;0.12;4;7.21;28;12.15;0.17;3.58;13.5;2
28319;0.85;"!набор !еды !на !неделю";2;0.78;4;8;18;2.88;0.75;1.57;13.78;2
28320;5.01;"!доставка !правильной !еды !на !дом";2;0.91;2;6.83;11;6.64;0.98;9.43;28.05;2
28321;1.53;"!general !food !отзывы";2;0.32;2;1.18;44;1.53;0.32;1.64;1.64;2
28322;22.53;"!доставка !пп !еды";2;0.55;7;11.62;40;22.53;0.55;9.63;26.19;2
28323;1.61;"!готовое !питание !с !доставкой";2;2.11;5;18.14;20;1.61;2.11;5.02;11.76;2
28324;3.83;"!заказать !вегетарианскую !еду !на !дом !москва";2;1.31;3;12.68;13;4.41;1.78;10.07;23.28;2
28325;10.85;"!заказ !еды !на !неделю";2;0.4;13;7.46;104;11;0.4;12.2;65.33;2
28326;1.48;"!правильное !питание !на !дом";2;1.16;9;11.91;62;2.65;1.13;3.16;14.01;2
28327;4.82;"!доставка !готовой !еды !москва";2;1.42;4;7.06;31;8.21;1.18;22.45;57.72;2
28328;10.15;"!доставка !здоровой !еды !на !дом !москва";2;0.68;3;13.5;10;10.15;0.68;19.73;45.03;2
28329;2.03;"!еда !на !каждый !день !доставка !москва";2;1.01;3;2.93;36;3.92;0.91;4.32;11.21;2
28330;3.47;"!заказ !диетической !еды !на !дом";2;0.69;3;12.37;10;3.94;1.57;5.14;20.99;2
28331;2.52;"!доставка !еды !с !расчетом !калорий !москва";2;0.47;2;5.95;5;2.52;0.47;2.05;46.48;2
28332;2.06;"!готовая !вегетарианская !еда !на !неделю";2;0.31;2;2.46;5;2.06;0.31;2.51;17.9;2
28333;2.09;"!питание !на !дом !для !похудения";2;0.43;2;9.58;8;2.09;0.43;1.77;9.05;2
28334;0.69;"!магазины !правильного !питания !в !москве";2;0.76;5;9.96;50;1.19;1;2.53;3.68;2
28335;1.15;"!питание !с !доставкой !на !дом !москва";2;0.53;3;12.66;14;1.73;0.79;4.06;8.54;2
28336;4.84;"!еда !по !калориям !доставка";2;0.97;2;14.43;7;4.84;0.97;2.98;9.68;2
28337;1.66;"!правильное !питание !с !доставкой !москва";2;3.13;3;12.41;6;5.05;3.69;8.55;13.87;2
28338;0.86;"!питание !по !бжу";2;0.35;2;8.1;10;0.86;0.35;0.46;0.46;2
28339;4.03;"!правильное !питание !доставка !москва";2;1.31;15;18.93;74;4.05;1.32;7.17;13.78;2
28340;3.13;"!здоровая !еда !с !доставкой";2;0.48;7;9.01;59;3.94;0.49;8.22;35.01;2
28341;0.89;"!купить !питание !для !похудения !на !неделю";2;1.17;4;21.49;11;1.61;1.36;1.47;3.15;2
28342;1.97;"!готовая !сбалансированная !еда !на !дом";2;0.88;2;11.05;2;3.93;1.12;1.25;2.68;2
28343;0.74;"!магазин !правильного !питания";2;0.69;12;12.07;91;1.16;0.74;1.25;10.02;2
28344;48.08;"!доставка !здоровой !еды !москва !недорого";2;0.14;4;6.89;31;48.08;0.14;7.92;18.74;2
28345;3.43;"!пп !еда !с !доставкой !москва";2;1.48;3;10.66;14;3.43;1.48;5.92;25.77;2
28346;2.39;"!здоровое !питание !заказать";2;2.09;4;21.86;15;2.58;1.86;3.61;10.75;2
28347;9.12;"!доставка !веганской !еды";2;0.74;3;7.95;26;9.12;0.74;4.75;26.31;2
28348;1.3;"!доставка !готового !питания";2;1.37;5;21.6;20;2.4;1.49;4.28;12.37;2
28349;2.31;"!пп !доставка";2;0.78;5;12.59;28;2.31;0.78;3.21;9.97;2
28350;0.1;"!конструктор !меню";2;1.59;2;5.88;11;0.39;0.84;2.05;2.05;2
28351;2.8;"!доставка !фитнес !еды";2;0.43;7;2.44;145;6.57;0.47;5.07;11.09;2
28352;5.83;"!доставка !диетической !еды !на !дом";2;0.45;6;7.97;55;6.47;0.46;13.14;23.49;2
28353;2.53;"!конструктор !еды !на !дом";2;0.8;3;4.59;21;2.53;0.8;1.84;9.95;2
28354;2.47;"!готовые !обеды !на !неделю !с !доставкой";3;1.69;19;11.62;94;3.06;1.77;10.72;28.8;3
28355;1.72;"!доставка !диетического !питания !в !москве";2;1.61;17;17.46;78;2.66;1.5;4.22;12.15;2
28356;11.04;"!доставка !еды !на !неделю !в !москве";2;1.05;3;5.69;19;11.04;1.05;8.86;28.36;2
28357;1.68;"!готовое !питание !для !спортсменов !с !доставкой !москва";2;0.83;15;15.09;99;2.63;0.84;6.37;23.62;2
28358;8.31;"!пп !доставка !еды !москва";2;0.75;4;10.14;21;8.31;0.75;15.74;33.27;2
28359;20.35;"!доставка !еды !для !спортсменов";2;0.62;5;17.45;26;20.35;0.62;4.99;6.78;2
28360;3.04;"!заказать !готовую !еду";2;1.31;3;10.02;10;9.62;1.28;14.9;33.81;2
28361;3.92;"!доставка !здорового !питания !москва !дешево";2;0.11;5;10.52;32;3.92;0.11;5.06;10.78;2
28362;1.1;"!питание !доставка";2;0.84;3;9.09;13;1.54;1.11;3.04;5.49;2
28363;33.56;"!заказать !еду !для !похудения";2;0.13;4;10.79;36;33.56;0.13;4.45;28.08;2
28364;2.2;"!доставка !сбалансированного !питания !в !москве";2;2.13;4;17;20;2.48;2.21;3.75;5.9;2
28365;11.35;"!программы !питания !с !доставкой";2;0.14;5;10.21;34;12.25;0.21;4.09;18.93;2
28366;1.75;"!доставка !питания !для !спортсменов";2;0.24;4;5.96;61;1.94;0.26;2.46;4.03;2
28367;1.81;"!готовая !еда !на !неделю !для !похудения";2;0.78;4;18.69;13;1.81;0.78;1.75;4.59;2
28368;2.58;"!еда !на !месяц !с !доставкой";2;0.56;3;8.37;12;2.59;0.56;2.88;14.31;2
28369;2.45;"!вегетарианское !питание !на !неделю !с !доставкой";2;0.8;3;26.28;5;2.45;0.8;3.63;6.42;2
28370;1.13;"!готовая !еда !купить";2;0.33;2;5.38;3;1.13;0.33;1.58;2.34;2
28371;9.71;"!доставка !готовой !еды !правильное !питание";2;0.08;2;3.57;1;9.71;0.08;6.68;32.34;2
28372;1.08;"!еда !на !неделю !москва";2;0.82;3;6.03;18;1.08;0.82;3.72;27.66;2
28373;0.59;"!готовое !здоровое !питание";2;0.71;3;18.44;6;1.1;1.04;2.16;5.07;2
28374;2.2;"!похудение !доставка !еды";2;1.73;2;16.37;3;2.2;1.73;4.42;9.26;2
28375;0.94;"!записаться !к !диетологу";2;0.59;3;5.9;14;1.71;0.64;2.51;9.53;2
28376;1.35;"!пп !на !дом";2;0.47;2;11.17;5;1.35;0.47;0.72;31;2
28377;2.13;"!правильное !питание !заказ !еды !москва";2;1.14;2;17.78;5;2.13;1.14;3.35;9.3;2
28378;1.18;"!правильное !питание !в !москве";2;0.51;2;9.76;3;1.18;0.51;1.91;8.07;2
28379;7.8;"!доставка !правильное !питание";3;1.58;12;11.45;78;7.96;1.59;10.55;22.95;3
28380;2.25;"!диетическая !еда !с !доставкой";2;0.74;12;22.38;54;4.45;0.93;4.05;12.03;2
28381;3.36;"!здоровая !еда !с !доставкой !на !дом";2;1.98;5;13.69;33;3.36;1.98;6.22;26.01;2
28382;4.97;"!полезная !еда !с !доставкой";2;0.74;7;15.19;32;4.97;0.74;3.12;7.46;2
28383;1.48;"!фитнес !питание !на !неделю !с !доставкой";2;0.91;9;6.32;60;2.69;1.49;3.5;7.19;3
28384;2.79;"!заказ !правильного !питания";2;0.78;3;21.11;10;2.79;0.78;4.47;33.48;2
28385;0.01;"!правильное !питание !заказ";0;0;2;10.01;6;0.01;0;7.21;58.11;0
28386;1.13;"!доставка !рационов !питания !москва";2;2.04;5;23.81;9;2.65;3.14;3.12;4.92;2
28387;0.71;"!диета !с !доставкой !на !дом";2;1.05;4;13.15;21;1.75;1.48;3.56;12.88;2
28388;1.42;"!полезное !питание !доставка !москва";2;0.95;2;9.92;3;1.42;0.95;6.39;11.07;2
28389;0.01;"!заказать !еду !на !неделю !правильное !питание";0;0;2;13.75;9;0.01;0;7.63;15.29;0
28390;7.99;"!доставка !еды !на !каждый !день !москва";2;0.21;2;3.29;5;7.99;0.21;8.36;47.88;2
28391;3.94;"!доставка !еды !на !день";2;0.63;3;6.17;22;3.94;0.63;14.98;27.24;2
28392;1.84;"!здоровое !питание !на !неделю !доставка";2;3.89;2;14.47;5;2.57;3.23;5.12;8.08;2
28393;0.64;"!питание !с !доставкой !москва";2;1.41;2;14.89;8;1.17;1.47;2.37;5.88;2
28394;2.87;"!заказ !еды !пп";2;0.44;2;8.57;4;2.87;0.44;2.55;10.88;2
28395;1.33;"!правильная !еда !на !дом";2;0.72;2;16.38;5;2.04;1.05;2.85;5.15;2
28396;0.96;"!купить !еду !на !неделю";2;1.02;2;8.63;7;0.96;1.02;2.04;6.43;2
28397;1.16;"!пп !с !доставкой";2;0.57;3;13.56;6;1.16;0.57;1.85;5.99;2
28398;5.76;"!доставка !низкокалорийной !еды";2;0.71;2;1.91;5;5.76;0.71;13.21;32.08;2
28399;0.47;"!купить !правильное !питание !на !месяц";2;2.59;2;14.66;2;0.52;1.45;1.1;24.6;2
28400;0.01;"!доставка !готовой !еды !вегетарианское !меню";0;0;2;16.74;1;0.01;0;5.79;11.85;0
28401;0.01;"!готовое !питание !моква !по !бжу !день !600";0;0;2;7.87;1;0.01;0;2.03;3.95;0
28402;4.1;"!доставка !веганской !еды !москва";2;0.66;5;3;80;4.5;0.67;6.3;22.35;2
28403;2.84;"!доставка !сбалансированного !питания";2;0.32;7;13.39;37;2.99;0.32;8.46;12.54;2
28404;4.12;"!заказать !вегетарианскую !еду !на !дом";2;0.3;5;9.22;41;7.35;0.43;14.6;23.82;2
28405;28.13;"!диетическая !еда !с !доставкой !на !дом";2;0.16;4;7.18;39;28.13;0.16;7.4;18.42;2
28406;7.81;"!доставка !еды !правильного !питания";2;0.38;7;7.15;63;8.81;0.37;8.05;23.64;2
28407;2.84;"!доставка !еды !москва !на !неделю";2;1.39;7;10.89;45;5.89;1.49;9.16;22.25;2
28408;5.75;"!доставка !питания !для !похудения";2;0.48;7;11.77;48;5.75;0.48;3.1;13.66;2
28409;1.45;"!еда !для !набора !мышечной !массы !доставка";2;0.41;2;10.51;2;5.78;3.17;1.68;8.67;2
28410;23.21;"!вегетарианская !еда !с !доставкой !на !дом";2;0.23;5;8.07;42;23.21;0.23;8.23;17.12;2
28411;2.53;"!полезная !еда !с !доставкой !на !дом";2;1.53;3;11.66;15;2.83;1.45;3.83;19.41;2
28412;0.39;"!готовые !рационы !питания";2;1.41;3;17.13;4;0.62;1.21;1.42;2.01;2
28413;0.2;"!конструктор !питания";2;1.42;2;6.88;2;0.64;0.83;1.08;1.08;2
28414;0.18;"!калькулятор !рациона !питания";2;0.82;2;3.65;15;0.41;0.58;1.48;1.48;2
28415;0.32;"!организация !правильного !питания";2;1.27;2;4.03;2;1.13;0.71;0.74;1.56;2
28416;2.53;"!доставка !готовой !еды !на !дом !на !неделю";3;1.58;11;5.31;46;6.36;2.03;12.95;30.17;4
28417;12.98;"!вегетарианская !еда !доставка";2;0.63;5;17.58;19;12.98;0.63;6.15;9.85;2
28418;4.29;"!доставка !еды !на !дом !для !похудения";2;0.33;6;10.18;54;6.26;0.36;7.07;15.01;2
28419;68.85;"!доставка !полезной !еды !москва";2;0.14;5;8.5;43;68.85;0.14;10.36;31.58;2
28420;2.54;"!фитнес !еда !на !неделю !с !доставкой !москва";2;1.01;7;5.58;64;7.29;1.23;7.57;24.38;2
28421;1.13;"!конструкторы !еды";2;0.96;4;12.03;22;1.13;0.96;3.38;3.38;2
28422;1.85;"!готовая !еда !для !похудения";2;0.45;10;27.78;30;1.88;0.53;1.76;3.13;2
28423;2.06;"!вегетарианская !еда !на !дом";2;0.17;4;6.27;34;2.25;0.2;5.71;11.63;2
28424;0.81;"!доставка !питания !на !дом";2;1.27;3;13.55;12;1.26;1.44;3.46;13.54;2
28425;0.46;"!интернет !магазин !правильного !питания";2;0.74;3;10.1;9;0.86;1.27;1.32;3.02;2
28426;0.41;"!магазин !правильного !питания !москва";2;1.49;3;8.75;14;0.66;1.4;1.15;3.04;2
28427;1.25;"!купить !диетическое !питание !для !похудения !на !неделю";2;1.14;3;18.85;4;1.25;1.14;1.83;3.32;2
28428;4.68;"!вегетарианская !еда !заказать !москва";2;0.52;2;11.34;1;4.68;0.52;2.96;11.26;2
28429;1.06;"!веган !доставка !москва";2;0.94;3;9.92;10;1.06;0.94;1.54;19.02;2
28430;2.44;"!анализы !к !диетологу";2;0.24;2;1.57;43;4.16;0.23;19.73;19.73;2
28431;0.26;"!еда !для !вегетарианцев !интернет !магазин";2;0.93;3;15.78;4;0.89;1.17;0.92;1.5;2
28432;0.13;"!конструкторы !еды !москва";2;1.38;3;9.05;12;0.55;1.02;3.28;4.81;2
28433;0.24;"!рассчитать !питание !на !день";2;0.36;2;7.88;1;0.24;0.36;1.14;1.91;2
28434;0.31;"!правильное !питание !бжу";2;0.34;2;7.08;7;0.31;0.34;0.76;0.89;2
28435;0.48;"!калькулятор !рациона";2;1.05;0;0;3;0.68;1.67;0.01;0.01;2
28436;3.82;"!заказать !правильное !питание";2;1.34;10;9.68;106;4.23;1.33;9.43;32.18;2
28437;3.33;"!доставка !спортивной !еды !на !дом";2;2.46;7;23.57;24;11.7;1.75;7.13;10.95;2
28438;1.98;"!сервис !по !доставке !правильного !питания";2;0.86;5;7.66;36;3.08;0.84;5.73;22.04;2
28439;2.59;"!заказ !еды !на !неделю !москва";2;0.91;4;8.08;28;3.14;0.96;9.73;32.77;2
28440;0.01;"!питание !для !похудения !доставка";0;0;2;14.7;3;0.01;0;2.54;5.81;0
28441;1.54;"!москва !правильное !питание";2;0.64;4;9.68;15;1.54;0.64;4.85;15.8;2
28442;4.94;"!еда !пп !с !доставкой";2;0.69;3;11.19;16;4.94;0.69;3.44;14.87;2
28443;0.84;"!готовые !рационы !питания !для !похудения";2;2.12;4;23.24;9;1.45;1.6;2.17;3.76;2
28444;2.47;"!готовое !питание !на !неделю !заказать !москва";2;1.54;3;10.59;14;2.93;1.77;5.68;19.26;2
28445;1.28;"!заказать !правильное !питание !на !неделю";2;0.95;3;16.48;4;1.28;0.95;4.29;31.56;2
28446;8.04;"!заказ !еды !правильное !питание";2;0.53;2;11.9;7;8.04;0.53;5.31;11.31;2
28447;0.96;"!корпоративное !питание !доставка";2;0.42;2;4.04;16;2.66;0.56;3.41;10.37;2
28448;1.19;"!сбалансированное !питание !для !похудения !заказать";2;0.41;2;6.39;3;2.2;1.96;4.42;22.52;2
28449;5.25;"!готовые !рационы !питания !на !дом";2;0.74;2;13.17;5;5.25;0.74;3.53;6.45;2
28450;3.84;"!доставка !полезной !еды !в !москве";2;0.79;2;6.07;3;3.84;0.79;12.51;21.17;2
28451;2.06;"!заказ !еды !на !месяц";2;0.67;2;5.97;5;2.06;0.67;3.41;32.01;2
28452;1.23;"!еда !на !каждый !день !с !доставкой";2;1.23;2;3.77;3;2.39;1.19;2.83;7.17;2
28453;2.33;"!заказать !еду !на !месяц";2;1.85;2;6.93;2;2.42;1.85;5.46;31.18;2
28454;0.01;"!питание !для !похудения !заказать !москва";0;0;2;0.09;1;0.01;0;1.27;2.55;0
28455;2.81;"!сервис !по !доставке !пп !еды !москва";2;1.19;2;3.69;4;2.81;1.19;5.45;11.01;2
28456;1.06;"!доставка !конструкторов !готовой !еды";2;2.27;2;11.4;2;1.47;1.52;4.16;8.15;2
28457;0.53;"!веганское !питание !с !доставкой !на !неделю";2;0.83;2;7.07;1;0.53;0.83;1.56;6.73;2
28458;0.01;"!meal !питание !заказ !питания !на !дом";0;0;0;0;2;0.01;0;0.01;0.01;0
28459;0.01;"!заказ !на !неделю";0;0;2;10.76;1;0.01;0;0.6;1.03;0
28460;3.59;"!здоровое !питание !доставка !москва";2;0.78;4;22.13;9;3.59;0.78;4.59;7.59;2
28461;0.98;"!генерал !фуд !отзывы";2;0.33;0;0;5;0.98;0.33;0.01;0.01;2
28462;27.61;"!доставка !еды !на !неделю !на !дом";2;0.75;8;13.21;53;27.61;0.75;13.38;35.82;2
28463;8.76;"!готовое !правильное !питание !доставка";2;0.11;5;9.82;32;8.76;0.11;5.24;14.55;2
28464;5.59;"!сбалансированное !питание !доставка !москва";2;0.39;4;10.31;33;5.96;0.34;4.16;10.71;2
28465;4.56;"!веганская !еда !с !доставкой !москва";2;0.86;4;10.72;31;4.56;0.86;8.27;21.78;2
28466;0.78;"!ужины !на !неделю !с !доставкой";2;1.22;8;12.89;54;1.16;1.14;3.15;6.83;2
28467;1.95;"!заказать !еду !для !похудения !на !дом";2;0.1;4;10.23;33;1.95;0.1;3.22;15.62;2
28468;11.73;"!еда !для !вегетарианцев !доставка";2;0.13;2;1.92;26;11.73;0.13;13.57;33.5;2
28469;1.11;"!сервис !готовой !еды";2;0.97;4;11.01;20;1.45;1.05;2.27;6.34;2
28470;2.17;"!питание !на !неделю !с !доставкой !москва";2;1.22;3;10.41;18;2.17;1.22;2.93;7.82;2
28471;0.65;"!записаться !на !прием !к !диетологу !в !москве";2;0.54;3;3.2;30;4.9;0.66;2.06;6.5;2
